motion,label
-65.535156 -71.054688 -98.191406 -92.933594 -97.890625 -78.519531 -80.218750 -83.820312 -75.195312 -54.503906 -63.046875 -73.429688 -43.054688 -37.953125 -55.628906 -91.203125 -79.902344 -63.449219 -110.015625 -107.550781 -65.265625 -61.308594 -77.921875 -105.570312,l
-108.031250 -124.382812 -97.023438 -54.617188 -91.718750 -87.156250 -54.218750 -84.375000 -106.984375 -116.507812 -60.710938 -58.312500 -96.460938 -84.585938 -91.328125 -75.421875 -138.578125 -113.476562 -54.414062 -56.109375 -102.148438 -81.625000 -90.007812 -85.328125,l
-81.437500 -53.234375 -82.484375 -96.203125 -141.632812 -147.312500 -103.796875 -103.351562 -72.273438 -103.835938 -124.164062 -170.492188 -146.500000 -93.890625 -109.960938 -151.890625 -76.265625 -107.257812 -143.617188 -154.968750 -153.812500 -146.328125 -106.898438 -134.476562,l
-131.132812 -132.843750 -104.000000 -71.531250 -96.718750 -134.601562 -121.445312 -113.179688 -132.484375 -126.078125 -61.851562 -61.843750 -128.531250 -126.382812 -129.632812 -128.640625 -162.000000 -111.101562 -128.726562 -183.421875 -166.078125 -146.234375 -156.656250 -172.054688,l
-147.046875 -164.015625 -155.835938 -140.601562 -119.109375 -116.406250 -108.929688 -110.906250 -162.257812 -162.281250 -125.546875 -133.132812 -113.367188 -92.664062 -107.671875 -109.531250 -177.742188 -176.312500 -176.523438 -160.843750 -132.867188 -109.570312 -106.570312 -123.242188,l
-116.484375 -120.828125 -103.437500 -74.523438 -115.046875 -93.523438 -67.687500 -81.718750 -106.000000 -91.937500 -74.343750 -88.070312 -133.406250 -109.375000 -106.421875 -81.937500 -127.804688 -80.062500 -99.289062 -127.984375 -116.968750 -115.867188 -85.593750 -78.703125,l
-84.054688 -74.992188 -101.062500 -174.898438 -132.656250 -102.398438 -134.804688 -91.320312 -92.726562 -145.875000 -170.007812 -157.164062 -118.546875 -136.218750 -130.445312 -110.812500 -116.015625 -189.039062 -211.476562 -186.750000 -161.179688 -156.953125 -121.710938 -121.125000,l
-80.468750 -80.648438 -94.992188 -109.132812 -112.437500 -92.867188 -91.210938 -108.929688 -114.757812 -89.687500 -109.187500 -106.625000 -97.531250 -121.281250 -113.078125 -92.671875 -127.609375 -126.132812 -122.070312 -137.968750 -162.429688 -132.570312 -113.750000 -121.828125,l
-109.164062 -111.468750 -86.210938 -88.281250 -103.171875 -91.773438 -104.828125 -74.757812 -115.734375 -106.312500 -102.960938 -82.390625 -71.203125 -86.812500 -71.320312 -59.500000 -119.109375 -106.203125 -103.148438 -113.710938 -141.093750 -125.859375 -92.460938 -120.820312,l
-68.523438 -90.375000 -79.523438 -87.273438 -108.234375 -91.679688 -94.578125 -99.570312 -101.929688 -64.460938 -82.007812 -98.750000 -107.859375 -119.257812 -115.687500 -113.203125 -110.906250 -81.453125 -74.945312 -101.226562 -106.968750 -123.914062 -145.710938 -122.250000,l
-124.171875 -102.828125 -110.718750 -116.078125 -118.609375 -104.234375 -89.335938 -100.070312 -108.257812 -122.398438 -125.960938 -125.804688 -114.187500 -101.851562 -87.867188 -80.679688 -127.617188 -144.085938 -147.632812 -120.507812 -113.164062 -99.125000 -91.453125 -104.945312,l
-98.003906 -85.460938 -68.957031 -86.445312 -101.085938 -97.265625 -75.648438 -60.128906 -88.816406 -73.695312 -85.175781 -103.882812 -103.593750 -76.542969 -66.570312 -80.984375 -108.042969 -105.277344 -125.207031 -106.593750 -110.484375 -114.289062 -100.726562 -101.312500,l
-83.015625 -76.703125 -98.671875 -135.921875 -137.515625 -132.406250 -134.242188 -139.054688 -84.226562 -117.984375 -101.328125 -68.164062 -64.078125 -153.500000 -108.484375 -106.484375 -125.296875 -99.468750 -101.953125 -123.773438 -167.679688 -154.093750 -127.093750 -126.609375,l
-123.125000 -114.121094 -110.253906 -91.097656 -90.292969 -93.820312 -127.417969 -118.273438 -121.652344 -105.375000 -77.023438 -59.777344 -107.699219 -102.621094 -92.882812 -94.601562 -107.023438 -77.535156 -104.230469 -89.718750 -90.183594 -112.882812 -114.785156 -125.472656,l
-101.156250 -79.195312 -79.929688 -93.437500 -99.867188 -89.390625 -106.507812 -94.906250 -91.484375 -94.703125 -95.898438 -92.656250 -82.695312 -91.343750 -99.289062 -88.921875 -138.843750 -101.187500 -96.570312 -98.031250 -92.000000 -116.093750 -134.492188 -133.945312,l
-94.257812 -107.882812 -97.234375 -91.687500 -90.500000 -104.953125 -105.695312 -103.351562 -102.523438 -91.804688 -112.093750 -109.226562 -85.820312 -105.484375 -88.179688 -104.257812 -131.468750 -120.156250 -106.171875 -105.164062 -124.929688 -123.757812 -127.164062 -126.289062,l
-92.390625 -101.640625 -112.164062 -103.085938 -117.257812 -127.578125 -122.664062 -124.046875 -119.500000 -104.960938 -114.195312 -114.781250 -111.937500 -107.421875 -133.242188 -124.546875 -131.593750 -113.468750 -108.460938 -119.609375 -110.531250 -140.414062 -150.882812 -144.156250,l
-130.039062 -83.523438 -102.078125 -125.601562 -114.367188 -90.335938 -60.140625 -88.257812 -106.093750 -86.000000 -110.710938 -105.960938 -104.648438 -103.804688 -113.312500 -120.601562 -147.429688 -114.656250 -110.718750 -106.679688 -115.664062 -115.882812 -122.765625 -181.164062,l
-115.468750 -135.578125 -144.304688 -140.281250 -121.296875 -71.742188 -31.039062 -69.890625 -135.351562 -126.656250 -117.093750 -122.843750 -97.632812 -84.109375 -86.085938 -66.281250 -191.765625 -158.484375 -162.390625 -161.531250 -113.335938 -104.070312 -122.335938 -67.960938,l
-92.382812 -107.171875 -105.585938 -96.324219 -82.113281 -98.855469 -103.855469 -69.605469 -73.347656 -120.437500 -95.105469 -75.710938 -93.921875 -85.378906 -80.820312 -80.566406 -56.988281 -116.652344 -81.917969 -67.542969 -107.664062 -117.093750 -82.378906 -93.175781,l
