motion,label
-0.183594 3.464844 -13.277344 -69.914062 -55.316406 -109.074219 -96.308594 -38.785156 -0.050781 0.230469 1.777344 -39.839844 -54.035156 -69.144531 -98.144531 -87.937500 -0.347656 2.625000 -7.457031 -71.753906 -114.515625 -126.046875 -71.367188 -43.828125,l
-0.066406 1.757812 -2.882812 -72.031250 -119.921875 -47.394531 -70.738281 -125.765625 -0.058594 0.066406 3.632812 -48.894531 -87.468750 -106.742188 -47.414062 -65.898438 -0.359375 3.386719 -8.656250 -99.816406 -107.738281 -36.347656 -83.792969 -115.863281,l
-0.136719 2.644531 -11.210938 -42.402344 -50.632812 -109.871094 -122.804688 -86.726562 0.046875 0.101562 5.562500 -79.722656 -77.058594 -48.859375 -81.085938 -69.546875 -0.484375 3.136719 -13.906250 -35.175781 -60.058594 -113.160156 -95.347656 -75.828125,l
0.070312 1.734375 -2.070312 -64.562500 -130.382812 -96.726562 -80.406250 -74.406250 0.054688 -0.421875 5.085938 -32.234375 -76.570312 -77.828125 -65.367188 -75.804688 -0.351562 2.648438 -6.218750 -81.914062 -114.125000 -74.898438 -84.335938 -81.781250,l
-0.042969 1.574219 -3.339844 -50.855469 -92.464844 -68.886719 -102.925781 -96.308594 -0.062500 0.488281 1.828125 -59.578125 -70.000000 -74.925781 -70.980469 -74.207031 -0.402344 2.863281 -9.621094 -62.070312 -84.484375 -82.335938 -91.167969 -93.234375,l
0.054688 1.687500 -3.968750 -43.476562 -87.652344 -110.089844 -77.019531 -91.855469 0.093750 0.054688 4.695312 -58.531250 -76.859375 -73.765625 -71.957031 -55.683594 -0.343750 2.523438 -7.292969 -68.156250 -87.246094 -99.000000 -74.914062 -69.363281,l
-0.000000 1.585938 -1.199219 -72.652344 -92.316406 -82.992188 -86.796875 -85.753906 -0.003906 0.332031 2.640625 -56.812500 -76.738281 -66.058594 -46.484375 -47.335938 -0.320312 2.136719 -3.824219 -79.546875 -90.695312 -68.488281 -65.207031 -92.507812,l
0.160156 -0.218750 6.242188 -37.417969 -98.910156 -75.171875 -116.640625 -122.976562 0.007812 0.351562 2.488281 -57.578125 -53.941406 -49.750000 -51.281250 -78.109375 -0.433594 3.035156 -10.660156 -66.742188 -71.242188 -73.550781 -109.156250 -86.101562,l
0.054688 0.660156 0.839844 -39.792969 -101.988281 -125.667969 -126.031250 -97.628906 -0.039062 0.675781 0.351562 -51.738281 -47.316406 -72.578125 -81.363281 -88.628906 -0.335938 2.406250 -7.839844 -52.894531 -104.316406 -95.058594 -88.265625 -117.019531,l
-0.015625 2.613281 -4.640625 -94.351562 -127.000000 -119.796875 -60.433594 -66.484375 0.226562 -1.160156 10.492188 -49.304688 -80.898438 -94.636719 -54.558594 -39.136719 -0.613281 4.562500 -17.773438 -89.675781 -88.242188 -104.285156 -119.554688 -91.007812,l
0.000000 1.402344 0.550781 -80.117188 -89.824219 -55.187500 -81.554688 -94.648438 -0.042969 0.500000 3.167969 -75.046875 -81.777344 -37.304688 -46.218750 -59.011719 -0.464844 3.625000 -11.746094 -82.964844 -123.531250 -101.406250 -81.828125 -71.843750,l
0.214844 -1.312500 9.789062 -13.296875 -78.312500 -91.570312 -77.789062 -52.046875 0.101562 -0.468750 4.710938 -25.535156 -45.730469 -55.269531 -64.925781 -101.933594 -0.613281 4.304688 -15.824219 -88.574219 -92.457031 -74.101562 -72.816406 -82.812500,l
